x,y,z,mass,face_id,layer_id,density_input,mu
-1.04531700e+00,4.36618350e-01,-5.63519512e-01,1.41662935e+08,1974,32,1.72700000e+00,9.45472775e-12
-1.07850167e+00,4.50479250e-01,-5.81409021e-01,1.50799409e+08,1974,33,1.72700000e+00,1.00645053e-11
-1.11168633e+00,4.64340150e-01,-5.99298529e-01,1.60221398e+08,1974,34,1.72700000e+00,1.06933384e-11
-1.14487100e+00,4.78201050e-01,-6.17188037e-01,1.69928902e+08,1974,35,1.72700000e+00,1.13412270e-11
-1.17805567e+00,4.92061950e-01,-6.35077546e-01,1.79921921e+08,1974,36,1.72700000e+00,1.20081712e-11
-1.21124033e+00,5.05922850e-01,-6.52967054e-01,1.90200454e+08,1974,37,1.72700000e+00,1.26941709e-11
-1.24442500e+00,5.19783750e-01,-6.70856562e-01,2.00764502e+08,1974,38,1.72700000e+00,1.33992262e-11
-1.27760967e+00,5.33644650e-01,-6.88746071e-01,2.11614066e+08,1974,39,1.72700000e+00,1.41233370e-11
-1.31079433e+00,5.47505550e-01,-7.06635579e-01,2.22749143e+08,1974,40,1.72700000e+00,1.48665034e-11
-2.48885000e-02,1.03956750e-02,-1.34171313e-02,4.75858029e+04,1974,1,1.72700000e+00,3.17592467e-15
-5.28808750e-02,2.18162875e-02,-2.72223500e-02,2.46139024e+05,1975,2,1.72700000e+00,1.64275677e-14
-8.81347917e-02,3.63604792e-02,-4.53705833e-02,6.68091636e+05,1975,3,1.72700000e+00,4.45891123e-14
-1.23388708e-01,5.09046708e-02,-6.35188167e-02,1.30102055e+06,1975,4,1.72700000e+00,8.68314293e-14
-1.58642625e-01,6.54488625e-02,-8.16670500e-02,2.14492578e+06,1975,5,1.72700000e+00,1.43154519e-13
-1.93896542e-01,7.99930542e-02,-9.98152833e-02,3.19980731e+06,1975,6,1.72700000e+00,2.13558380e-13
-2.29150458e-01,9.45372458e-02,-1.17963517e-01,4.46566515e+06,1975,7,1.72700000e+00,2.98043014e-13
-2.64404375e-01,1.09081438e-01,-1.36111750e-01,5.94249929e+06,1975,8,1.72700000e+00,3.96608420e-13
-2.99658292e-01,1.23625629e-01,-1.54259983e-01,7.63030974e+06,1975,9,1.72700000e+00,5.09254599e-13
-3.34912208e-01,1.38169821e-01,-1.72408217e-01,9.52909649e+06,1975,10,1.72700000e+00,6.35981549e-13
-3.70166125e-01,1.52714012e-01,-1.90556450e-01,1.16388596e+07,1975,11,1.72700000e+00,7.76789273e-13
-4.05420042e-01,1.67258204e-01,-2.08704683e-01,1.39595989e+07,1975,12,1.72700000e+00,9.31677768e-13
-4.40673958e-01,1.81802396e-01,-2.26852917e-01,1.64913146e+07,1975,13,1.72700000e+00,1.10064704e-12
-4.75927875e-01,1.96346588e-01,-2.45001150e-01,1.92340066e+07,1975,14,1.72700000e+00,1.28369708e-12
-5.11181792e-01,2.10890779e-01,-2.63149383e-01,2.21876749e+07,1975,15,1.72700000e+00,1.48082789e-12
-5.46435708e-01,2.25434971e-01,-2.81297617e-01,2.53523195e+07,1975,16,1.72700000e+00,1.69203947e-12
-5.81689625e-01,2.39979162e-01,-2.99445850e-01,2.87279404e+07,1975,17,1.72700000e+00,1.91733183e-12
-6.16943542e-01,2.54523354e-01,-3.17594083e-01,3.23145376e+07,1975,18,1.72700000e+00,2.15670496e-12
-6.52197458e-01,2.69067546e-01,-3.35742317e-01,3.61121111e+07,1975,19,1.72700000e+00,2.41015886e-12
-6.87451375e-01,2.83611737e-01,-3.53890550e-01,4.01206609e+07,1975,20,1.72700000e+00,2.67769353e-12
-7.22705292e-01,2.98155929e-01,-3.72038783e-01,4.43401870e+07,1975,21,1.72700000e+00,2.95930898e-12
-7.57959208e-01,3.12700121e-01,-3.90187017e-01,4.87706894e+07,1975,22,1.72700000e+00,3.25500520e-12
-7.93213125e-01,3.27244313e-01,-4.08335250e-01,5.34121682e+07,1975,23,1.72700000e+00,3.56478219e-12
-8.28467042e-01,3.41788504e-01,-4.26483483e-01,5.82646232e+07,1975,24,1.72700000e+00,3.88863995e-12
-8.63720958e-01,3.56332696e-01,-4.44631717e-01,6.33280546e+07,1975,25,1.72700000e+00,4.22657849e-12
-8.98974875e-01,3.70876887e-01,-4.62779950e-01,6.86024622e+07,1975,26,1.72700000e+00,4.57859780e-12
-9.34228792e-01,3.85421079e-01,-4.80928183e-01,7.40878462e+07,1975,27,1.72700000e+00,4.94469788e-12
-9.69482708e-01,3.99965271e-01,-4.99076417e-01,7.97842064e+07,1975,28,1.72700000e+00,5.32487873e-12
-1.00473662e+00,4.14509462e-01,-5.17224650e-01,8.56915430e+07,1975,29,1.72700000e+00,5.71914035e-12
